"country"|"iso2c"|"iso3c"|"year"|"status"|"lastupdated"|"gdp_per_cap"|"life_exp"|"pop"|"internet"|"region"|"capital"|"longitude"|"latitude"|"income"|"lending"
"Afghanistan"|"AF"|"AFG"|2020|""|"2026-01-28"|510.787063366811|61.454|39068979|17.0485|"South Asia"|"Kabul"|"69.1761"|"34.5228"|"Low income"|"IDA"
"Afghanistan"|"AF"|"AFG"|2015|""|"2026-01-28"|565.569730408751|62.27|33831764|8.26|"South Asia"|"Kabul"|"69.1761"|"34.5228"|"Low income"|"IDA"
"Afghanistan"|"AF"|"AFG"|2017|""|"2026-01-28"|525.469770891619|62.406|35688935|13.5|"South Asia"|"Kabul"|"69.1761"|"34.5228"|"Low income"|"IDA"
"Afghanistan"|"AF"|"AFG"|2018|""|"2026-01-28"|491.337221382603|62.443|36743039|16.8|"South Asia"|"Kabul"|"69.1761"|"34.5228"|"Low income"|"IDA"
"Afghanistan"|"AF"|"AFG"|2019|""|"2026-01-28"|496.6025042585|62.941|37856121|17.6|"South Asia"|"Kabul"|"69.1761"|"34.5228"|"Low income"|"IDA"
"Afghanistan"|"AF"|"AFG"|2016|""|"2026-01-28"|522.082215583898|62.646|34700612|11|"South Asia"|"Kabul"|"69.1761"|"34.5228"|"Low income"|"IDA"
"Albania"|"AL"|"ALB"|2019|""|"2026-01-28"|6069.43903131027|79.467|2567801|68.5504|"Europe & Central Asia"|"Tirane"|"19.8172"|"41.3317"|"Upper middle income"|"IBRD"
"Albania"|"AL"|"ALB"|2018|""|"2026-01-28"|5897.65452588774|79.238|2607733|65.4|"Europe & Central Asia"|"Tirane"|"19.8172"|"41.3317"|"Upper middle income"|"IBRD"
"Albania"|"AL"|"ALB"|2020|""|"2026-01-28"|6027.91350716348|77.824|2528480|72.2377|"Europe & Central Asia"|"Tirane"|"19.8172"|"41.3317"|"Upper middle income"|"IBRD"
"Albania"|"AL"|"ALB"|2015|""|"2026-01-28"|4199.53912925398|78.358|2731293|56.9|"Europe & Central Asia"|"Tirane"|"19.8172"|"41.3317"|"Upper middle income"|"IBRD"
